r1,r2,rl
0.30065,0.07947,0.26144
0.26846,0.05442,0.22819
0.3871,0.18478,0.35484
0.28016,0.14902,0.26459
0.38614,0.17,0.36634
0.39394,0.23077,0.36364
0.28947,0.09334,0.27632
0.35398,0.18018,0.33628
0.37662,0.11842,0.2987
0.34266,0.09155,0.29371
0.21506,0.08791,0.19354
0.74648,0.57142,0.73239
0.29091,0.08589,0.27879
0.55752,0.33036,0.47788
0.40491,0.17659,0.35992
0.54054,0.28767,0.45946
0.30968,0.13072,0.27097
0.49027,0.32941,0.4358
0.98571,0.97101,0.98571
0.31343,0.18182,0.26866
0.28931,0.12739,0.25157
0.34667,0.17568,0.30667
0.14545,0.01227,0.10909
0.61878,0.4581,0.59669
0.39252,0.20952,0.26168
0.27642,0.08265,0.26016
0.50315,0.30573,0.50315
0.31579,0.125,0.2807
0.44827,0.17442,0.43678
0.93056,0.87324,0.93056
0.28462,0.09303,0.23846
0.32558,0.14173,0.29457
0.41558,0.17105,0.35065
0.31546,0.15238,0.27761
0.52174,0.24391,0.50242
0.47059,0.20895,0.41176
0.2963,0.09434,0.22222
0.37159,0.16575,0.31694
0.53448,0.33043,0.47414
0.29677,0.10458,0.27097
0.42529,0.13953,0.35632
0.31292,0.12414,0.2585
0.17105,0.06667,0.1579
0.62983,0.50279,0.58564
0.45493,0.25108,0.42918
0.31868,0.07777,0.27473
0.28572,0.05797,0.22857
0.17442,0.05882,0.13953
0.37705,0.1,0.31147
0.24837,0.09272,0.24837
0.29358,0.10185,0.27523
0.2716,0.1,0.2716
0.36923,0.14063,0.27693
0.46591,0.33333,0.46591
0.34667,0.21622,0.34667
0.31818,0.07692,0.25758
0.4142,0.23952,0.3787
0.50746,0.30303,0.46269
0.50315,0.29299,0.47799
0.48611,0.25352,0.41667
0.25641,0.09091,0.24359
0.48958,0.25263,0.41667
0.31579,0.16071,0.29824
0.81443,0.73958,0.81443
0.28358,0.12121,0.26866
0.38235,0.22772,0.2549
0.35212,0.12857,0.32395
0.29762,0.09639,0.2381
0.24243,0.02062,0.22222
0.40976,0.21569,0.38049
0.43333,0.22034,0.43333
0.34973,0.1105,0.25137
0.33334,0.11881,0.28431
0.33803,0.12857,0.29577
0.58334,0.49152,0.58334
0.36765,0.2388,0.36765
0.36937,0.16363,0.31532
0.46154,0.17188,0.35384
0.38667,0.2027,0.32
0.42105,0.25333,0.38158
0.3125,0.21519,0.3125
0.26846,0.16327,0.25503
0.42487,0.16754,0.3627
0.37073,0.13793,0.28293
0.375,0.18391,0.35227
0.58167,0.45783,0.56574
0.5119,0.27711,0.5
0.29032,0.13115,0.25806
0.39378,0.18848,0.34197
0.32653,0.1134,0.27551
0.29008,0.06202,0.18321
0.34546,0.18519,0.34546
0.30526,0.10638,0.26316
0.38542,0.2,0.375
0.29687,0.19047,0.25
0.50862,0.33043,0.50862
0.35152,0.20859,0.33939
0.26752,0.07742,0.26752
0.82119,0.75168,0.82119
0.61194,0.45454,0.61194
0.41667,0.17895,0.36458
0.15714,0.05797,0.15714
0.40196,0.24753,0.37255
0.4918,0.25414,0.45902
0.35211,0.24286,0.32394
0.32636,0.1519,0.28452
0.34862,0.26168,0.34862
0.38028,0.14286,0.30986
0.40777,0.19802,0.36893
0.25,0.0339,0.16667
0.30882,0.1194,0.29412
0.63256,0.42254,0.62326
0.625,0.39683,0.54688
0.35714,0.20619,0.32653
0.20444,0.05381,0.17778
0.52174,0.32353,0.50725
0.33566,0.15602,0.32168
0.41568,0.19763,0.37647
0.41442,0.20184,0.37838
0.31667,0.0678,0.25
0.14084,0.01428,0.11268
0.62712,0.36207,0.44068
0.73972,0.65278,0.72602
0.46491,0.16814,0.38596
0.38235,0.1194,0.36764
0.36487,0.13698,0.33784
0.31285,0.11299,0.25698
0.55474,0.45926,0.54015
0.43349,0.20896,0.41379
0.63695,0.45161,0.59872
0.35122,0.11823,0.30244
0.34042,0.15828,0.32624
0.27751,0.09662,0.2488
0.41052,0.23404,0.29474
0.42945,0.27329,0.41718
0.48485,0.23313,0.43637
0.43151,0.26897,0.32191
0.27174,0.08791,0.23913
0.33567,0.1844,0.27972
0.37005,0.17778,0.27313
0.51852,0.35,0.45679
0.40541,0.18182,0.35135
0.34021,0.17708,0.29897
0.68148,0.52632,0.63704
0.23077,0.15789,0.23077
0.51007,0.32653,0.37584
0.37838,0.23853,0.34234
