r1,r2,rl
0.50273,0.3094,0.45902
0.33577,0.07353,0.25548
0.38356,0.18056,0.32877
0.4386,0.29203,0.40351
0.38938,0.23423,0.30089
0.30769,0.1913,0.30769
0.33962,0.15238,0.33962
0.36641,0.18604,0.35115
0.36129,0.2353,0.34838
0.34286,0.16185,0.30857
0.33548,0.14379,0.32258
0.29825,0.125,0.26316
0.45614,0.26786,0.43859
0.256,0.04878,0.176
0.41176,0.27966,0.39496
0.33149,0.15643,0.28729
0.22973,0.08219,0.22973
0.33784,0.12328,0.28378
0.43443,0.22314,0.37705
0.38461,0.21935,0.33974
0.49123,0.25,0.4035
0.41143,0.23121,0.38857
0.25,0.10666,0.23684
0.36585,0.17213,0.28455
0.51649,0.28889,0.47252
0.51686,0.375,0.51686
0.45752,0.21192,0.35294
0.45455,0.21052,0.42857
0.2963,0.0625,0.24692
0.34615,0.15686,0.28846
0.38095,0.20482,0.36905
0.48544,0.35644,0.48544
0.42953,0.27211,0.37584
0.352,0.17886,0.32
0.40462,0.18714,0.34682
0.5974,0.46052,0.58441
0.46154,0.19689,0.38975
0.30121,0.12195,0.25301
0.30435,0.07692,0.27173
0.51282,0.22078,0.43589
1.0,1.0,1.0
0.31933,0.08547,0.2689
0.21538,0.0625,0.18462
0.38597,0.26786,0.36842
0.46269,0.25758,0.44776
0.36842,0.13334,0.31579
0.48,0.28378,0.45333
0.34395,0.19355,0.29299
0.53247,0.32895,0.51948
0.45518,0.20979,0.37241
0.39216,0.16832,0.36275
0.46896,0.23776,0.41379
0.36487,0.13699,0.33784
0.31579,0.08,0.25
0.45454,0.27587,0.42045
0.37879,0.24615,0.36363
0.52209,0.34818,0.43374
0.37209,0.15294,0.32558
0.63704,0.57143,0.62222
0.59184,0.41237,0.52041
0.43479,0.23899,0.32298
0.36548,0.14359,0.33503
0.41333,0.24324,0.37333
0.51748,0.35461,0.47552
0.20968,0.09836,0.20968
0.5125,0.3038,0.5
0.4,0.26589,0.38857
0.472,0.23387,0.408
0.66292,0.54546,0.66292
0.39091,0.22018,0.33636
0.35955,0.20455,0.34832
0.39474,0.25333,0.38158
0.69697,0.55102,0.66667
0.3345,0.21053,0.30662
0.47926,0.23256,0.43318
0.54054,0.34863,0.5045
0.32323,0.15593,0.28956
0.624,0.50406,0.576
0.40237,0.17964,0.30769
0.5912,0.35669,0.5283
0.39767,0.18935,0.35088
0.32836,0.12121,0.29851
0.47674,0.29412,0.43023
0.20238,0.03614,0.20238
0.50467,0.27359,0.42056
0.23301,0.07921,0.19418
0.37623,0.16162,0.25742
0.34595,0.17487,0.3027
0.4,0.18519,0.38182
0.54369,0.41176,0.52428
0.23596,0.09091,0.22472
0.31034,0.15789,0.2931
0.55794,0.34632,0.49786
0.42487,0.29319,0.42487
0.54193,0.3268,0.51613
0.29197,0.1037,0.18978
0.39216,0.19868,0.36601
0.34437,0.20134,0.34437
0.31034,0.13954,0.28736
0.30864,0.1625,0.29629
0.46511,0.22047,0.46511
0.90909,0.85106,0.90909
0.24657,0.09722,0.24657
0.4721,0.23377,0.40344
0.43709,0.2953,0.43709
0.43011,0.1413,0.34408
0.46281,0.36975,0.36364
0.25688,0.09259,0.21101
0.56431,0.35147,0.49793
0.46269,0.24812,0.42538
0.43678,0.23256,0.43678
0.22377,0.05674,0.18182
0.47887,0.3128,0.43193
0.17699,0.05405,0.15929
0.34637,0.16949,0.32402
0.33566,0.17021,0.23776
0.39426,0.20938,0.37993
0.31724,0.06993,0.28966
0.6506,0.57317,0.6506
0.41818,0.21101,0.37273
0.52631,0.3617,0.47368
0.19588,0.03125,0.15464
0.59406,0.43,0.58416
0.53435,0.37209,0.48855
0.23931,0.0,0.20513
0.28019,0.0878,0.25121
0.64243,0.42945,0.60606
0.68518,0.64151,0.68518
0.47887,0.28572,0.40845
0.44565,0.28571,0.40217
0.43421,0.24,0.38158
0.32692,0.15686,0.30769
0.39683,0.20968,0.26984
0.45249,0.23744,0.32579
0.47904,0.24243,0.44311
0.41818,0.24074,0.4
0.375,0.23636,0.35715
0.38938,0.23214,0.33628
0.36842,0.16,0.35526
0.44324,0.27323,0.41081
0.19672,0.10169,0.19672
0.38144,0.20833,0.35051
0.30682,0.10345,0.27273
0.42162,0.26229,0.37838
0.35821,0.13065,0.30846
0.30488,0.14815,0.26829
0.20869,0.0885,0.19131
0.34722,0.16902,0.31944
0.43777,0.21645,0.38627
0.27745,0.07018,0.20809
0.32,0.13873,0.29714
0.26389,0.09859,0.23611
0.38775,0.1031,0.33674
0.73885,0.58065,0.73885
0.61538,0.45455,0.58974
0.57021,0.44635,0.5617
0.34426,0.19835,0.31967
0.39235,0.15459,0.33493
0.47115,0.32039,0.43269
0.23129,0.05517,0.20408
0.56953,0.33557,0.50331
0.4,0.14508,0.38974
0.34314,0.17822,0.33333
0.31924,0.1327,0.2723
0.4597,0.22222,0.42388
0.30657,0.19259,0.27738
0.24359,0.06494,0.20513
0.36697,0.2243,0.33027
0.22361,0.0629,0.21118
0.30188,0.10191,0.27673
0.69565,0.57353,0.68116
0.4065,0.26446,0.39024
0.28346,0.128,0.26772
0.39858,0.18638,0.35587
0.59155,0.37143,0.53521
0.73314,0.65487,0.72727
0.36036,0.12844,0.25225
0.42424,0.19632,0.36364
0.33548,0.11765,0.28387
0.37778,0.13433,0.31111
0.25777,0.04484,0.23111
0.4472,0.18868,0.32298
0.72848,0.59061,0.68874
0.4023,0.23256,0.31034
0.36364,0.13158,0.33767
0.21538,0.06218,0.1641
0.16667,0.05634,0.15278
0.53913,0.32456,0.50435
0.42424,0.24615,0.37879
0.42953,0.29932,0.41611
0.35583,0.18634,0.31902
0.48718,0.32468,0.41025
0.2907,0.08236,0.20931
0.52229,0.33548,0.52229
0.34921,0.25807,0.34921
0.39436,0.18957,0.37559
0.30345,0.15385,0.23448
0.48837,0.34118,0.47674
0.26761,0.05714,0.22535
0.33094,0.14598,0.30216
0.34211,0.17333,0.28947
0.18705,0.04379,0.15827
0.57273,0.41285,0.56364
0.33333,0.175,0.32099
0.54455,0.36,0.48515
0.30263,0.09333,0.27632
0.71569,0.68317,0.71569
0.14285,0.03226,0.12699
0.51724,0.36842,0.5
0.12844,0.01869,0.09174
0.37957,0.19259,0.35037
0.47337,0.28742,0.42603
0.44578,0.17073,0.42169
0.52778,0.43662,0.51389
0.39081,0.22093,0.35632
0.33871,0.11475,0.27419
0.48696,0.27193,0.46087
0.21849,0.08547,0.21849
0.26519,0.10056,0.24309
0.38462,0.20313,0.38462
0.2973,0.09589,0.28378
0.38247,0.19277,0.34263
0.42623,0.18182,0.40164
0.13333,0.0,0.13333
0.38298,0.15827,0.35461
0.31206,0.15827,0.25532
0.27481,0.18605,0.25954
0.38843,0.15,0.28099
0.28421,0.09574,0.26315
0.496,0.30894,0.464
0.33823,0.12593,0.29412
0.45627,0.23755,0.40304
0.32804,0.11765,0.2963
0.6257,0.41808,0.60335
