r1,r2,rl
0.28448,0.06956,0.21552
0.51852,0.27068,0.44445
0.45283,0.31428,0.4434
0.44628,0.28571,0.42975
0.26984,0.06452,0.26984
0.36,0.14142,0.32
0.43077,0.25,0.41538
0.23841,0.10738,0.23841
0.28025,0.10323,0.26752
0.25,0.08451,0.22223
0.21429,0.07273,0.19643
0.42748,0.18605,0.36641
0.15942,0.02941,0.11594
0.40458,0.20769,0.33588
0.37363,0.16667,0.32967
0.25806,0.0915,0.25806
0.36364,0.13497,0.31515
0.50769,0.27132,0.46154
0.27083,0.15384,0.27083
0.33334,0.18,0.2549
0.49412,0.30953,0.45882
0.3354,0.15094,0.31056
0.32912,0.15319,0.28692
0.31056,0.18868,0.29814
0.58621,0.47674,0.42529
0.39215,0.19867,0.3268
0.61039,0.39473,0.57143
0.39779,0.14525,0.34254
0.28572,0.14634,0.28572
0.24359,0.07792,0.21795
0.54945,0.33708,0.54945
0.5034,0.30345,0.47619
0.39062,0.20635,0.32813
0.40491,0.12422,0.31902
0.40476,0.25301,0.38095
0.36464,0.21229,0.33149
0.30986,0.18572,0.30986
0.19653,0.02339,0.16185
0.43479,0.239,0.42236
0.71428,0.53659,0.64286
0.31933,0.10256,0.31933
0.22413,0.1228,0.2069
0.43859,0.32143,0.43859
0.47407,0.30075,0.42963
0.27338,0.13139,0.27338
0.41322,0.21849,0.38016
0.31579,0.10667,0.27632
0.53691,0.28571,0.4698
0.6014,0.3688,0.57342
0.31646,0.12821,0.27848
0.47297,0.21918,0.4054
0.35135,0.19178,0.32432
0.27143,0.11594,0.25714
0.44138,0.22377,0.41379
0.2963,0.16981,0.27778
0.50769,0.26357,0.43846
0.34682,0.12866,0.30058
0.61666,0.50847,0.6
0.39535,0.2,0.36047
0.21687,0.06098,0.21687
0.34682,0.14035,0.33526
0.37037,0.2375,0.33333
0.48438,0.33334,0.46875
0.36842,0.21622,0.36842
0.46896,0.1958,0.38621
0.41111,0.2809,0.38889
0.42424,0.2551,0.40404
0.46707,0.25455,0.44312
0.40251,0.17834,0.38993
0.41989,0.17877,0.39779
0.38571,0.21739,0.35715
0.46067,0.22728,0.42697
0.36363,0.20262,0.3052
0.39491,0.21935,0.36943
0.4,0.22222,0.36363
0.33334,0.15672,0.2963
0.52381,0.29032,0.4127
0.24051,0.02564,0.21519
0.42466,0.22222,0.39726
0.45762,0.2931,0.42373
0.38532,0.2243,0.34862
0.43386,0.19251,0.37037
0.28572,0.10695,0.28572
0.44809,0.20995,0.40437
0.32061,0.09302,0.30534
0.23333,0.11865,0.23333
0.27673,0.17834,0.27673
0.33846,0.17187,0.3077
0.35821,0.17086,0.30846
0.33121,0.11613,0.29299
0.28571,0.10257,0.26891
0.40659,0.16667,0.32967
0.21164,0.03209,0.19047
0.54795,0.36111,0.50685
0.54667,0.2973,0.52
0.45588,0.28359,0.39706
0.29687,0.11111,0.23438
0.25157,0.12739,0.23899
0.38168,0.17054,0.36641
0.38655,0.20513,0.31933
0.55639,0.38168,0.54135
0.31429,0.11594,0.24286
0.34343,0.16326,0.31313
0.38509,0.22642,0.36025
0.34838,0.11765,0.28387
0.54167,0.43662,0.51389
0.21505,0.05435,0.2043
0.57868,0.4,0.46701
0.39676,0.18775,0.32389
0.33333,0.14085,0.26389
0.13158,0.0,0.13158
0.40861,0.27174,0.37634
0.29687,0.19047,0.23437
0.52223,0.33708,0.45556
0.30137,0.11111,0.26027
0.34576,0.12287,0.32543
0.38848,0.13138,0.3741
0.63158,0.56489,0.63158
0.40952,0.20192,0.36191
0.5618,0.35227,0.53933
0.25699,0.11299,0.23464
0.45455,0.21428,0.44444
0.38655,0.2906,0.36975
0.24193,0.06557,0.2258
