r1,r2,rl
0.62434,0.43851,0.56085
0.29252,0.05479,0.27891
0.49102,0.2303,0.43114
0.45528,0.30328,0.43902
0.4375,0.28571,0.4375
0.42623,0.33333,0.42623
0.31111,0.1236,0.28889
0.42424,0.23077,0.33333
0.25641,0.1039,0.25641
0.2449,0.09655,0.23129
0.4898,0.24828,0.44898
0.28302,0.15384,0.24529
0.50746,0.25758,0.47761
0.22069,0.08392,0.1931
0.41296,0.20408,0.30769
0.25731,0.09467,0.24561
0.29677,0.0915,0.25806
0.29762,0.13253,0.26191
0.58274,0.27536,0.48202
0.41801,0.22654,0.37299
0.30215,0.14599,0.27338
0.39264,0.22361,0.3681
0.225,0.07595,0.2
0.44635,0.25108,0.39485
0.53793,0.37762,0.52414
0.54054,0.42466,0.51351
0.47059,0.34437,0.4183
0.49351,0.3421,0.48052
0.45,0.22222,0.4
0.28813,0.10345,0.27119
0.32468,0.14474,0.2987
0.58065,0.35165,0.55914
0.47887,0.21428,0.39436
0.32308,0.21875,0.32308
0.36129,0.13072,0.29677
0.45033,0.25503,0.43708
0.3237,0.14035,0.27746
0.32653,0.15173,0.2585
0.36364,0.1954,0.34091
0.52941,0.33333,0.52941
0.38636,0.23256,0.36364
0.2735,0.08696,0.23932
0.19867,0.05369,0.19867
0.33663,0.22222,0.31683
0.26035,0.11976,0.26035
0.29922,0.128,0.29922
0.50322,0.27451,0.42581
0.25882,0.10714,0.25882
0.4698,0.31292,0.4698
0.55629,0.33557,0.5298
0.32941,0.11905,0.27059
0.57931,0.4056,0.56551
0.28986,0.13235,0.27536
0.23684,0.09333,0.22368
0.44445,0.20968,0.4127
0.16495,0.04211,0.14433
0.55645,0.36585,0.53226
0.47514,0.29051,0.45304
0.50407,0.36364,0.43903
0.39623,0.20952,0.39623
0.40506,0.24359,0.34177
0.3375,0.10127,0.3375
0.33094,0.18978,0.31655
0.4394,0.32308,0.4394
0.35714,0.23636,0.33928
0.51191,0.25301,0.4881
0.43182,0.31035,0.40909
0.27692,0.06218,0.22564
0.39796,0.17526,0.38776
0.38509,0.20126,0.36025
0.49741,0.3246,0.49741
0.32727,0.17178,0.27879
0.58824,0.4,0.53476
0.38283,0.25913,0.35644
0.35789,0.20213,0.32632
0.52084,0.31915,0.52084
