r1,r2,rl
0.35212,0.07143,0.2676
0.41958,0.17021,0.33567
0.4,0.26263,0.36
0.26957,0.18421,0.24348
0.4375,0.26316,0.35417
0.35928,0.15758,0.31138
0.31933,0.13675,0.31933
0.37879,0.18462,0.33333
0.37762,0.1844,0.33567
0.29482,0.06425,0.24701
0.35715,0.21951,0.33333
0.48819,0.304,0.42519
0.31325,0.09756,0.22891
0.39811,0.20096,0.3128
0.39835,0.18144,0.36139
0.42424,0.23077,0.36363
0.46939,0.35417,0.46939
0.47533,0.2896,0.4305
0.98592,0.97143,0.98592
0.30216,0.14599,0.27338
0.24516,0.13072,0.23226
0.30066,0.1457,0.27451
0.27586,0.08391,0.24828
0.55555,0.4125,0.51852
0.52252,0.36697,0.5045
0.32308,0.14063,0.27692
0.52,0.32433,0.50666
0.45545,0.22223,0.45545
0.36923,0.17616,0.33846
0.67669,0.54962,0.64662
0.40149,0.17977,0.37175
0.44444,0.21192,0.37908
0.33103,0.05595,0.26207
0.29545,0.14286,0.25568
0.49462,0.23913,0.37634
0.32857,0.15942,0.28571
0.33846,0.14062,0.29231
0.23529,0.1192,0.19608
0.51327,0.29464,0.43363
0.25731,0.09468,0.25731
0.43114,0.25454,0.37126
0.32857,0.13044,0.28572
0.21302,0.04791,0.17752
0.70271,0.53551,0.69189
0.4358,0.22745,0.38132
0.36757,0.16393,0.34594
0.22059,0.04478,0.20588
0.25641,0.16883,0.25641
0.4186,0.20473,0.4031
0.275,0.11393,0.275
0.2353,0.06931,0.22549
0.31507,0.13889,0.23288
0.42857,0.19737,0.36364
0.2649,0.09396,0.23841
0.31901,0.17391,0.31901
0.35114,0.17054,0.30534
0.40816,0.17526,0.36735
0.57813,0.36508,0.48438
0.42254,0.17142,0.40845
0.48951,0.28369,0.47553
0.35461,0.12949,0.29788
0.46626,0.2236,0.44172
0.44445,0.26087,0.42735
0.82412,0.75127,0.82412
0.26027,0.11111,0.23288
0.40425,0.2043,0.29787
0.27338,0.08759,0.27338
0.27083,0.08421,0.22917
0.45714,0.23301,0.41905
0.44111,0.25188,0.41102
0.35714,0.18182,0.28572
0.29714,0.10405,0.21714
0.21212,0.02041,0.19192
0.47059,0.22388,0.39705
0.59677,0.40984,0.59677
0.42858,0.22581,0.42858
0.27174,0.10989,0.25
0.32353,0.07463,0.23529
0.32653,0.12414,0.31293
0.38418,0.22857,0.38418
0.44828,0.30232,0.43678
0.18792,0.06803,0.18792
0.50486,0.15686,0.43689
0.27907,0.11765,0.25582
0.44324,0.19672,0.4
0.49339,0.38222,0.49339
0.5,0.27273,0.4359
0.32521,0.08264,0.27642
0.35979,0.18182,0.32804
0.37321,0.2029,0.33493
0.33823,0.16418,0.33823
0.27027,0.12844,0.25225
0.39572,0.16216,0.29947
0.34408,0.18478,0.32258
0.22681,0.12631,0.22681
0.57029,0.42105,0.57029
0.425,0.25317,0.425
0.26374,0.11111,0.20879
0.725,0.63291,0.7125
0.60274,0.38889,0.57534
0.45256,0.25185,0.43796
0.27381,0.09638,0.2381
0.33171,0.14778,0.3122
0.44444,0.21348,0.41111
0.34074,0.22556,0.34074
0.57269,0.39111,0.49339
0.50769,0.34375,0.46154
0.42038,0.20645,0.36943
0.41538,0.1875,0.36923
0.32759,0.10527,0.29311
0.44444,0.24194,0.36508
0.60577,0.38835,0.56731
0.31788,0.1208,0.2649
0.49032,0.28758,0.4
0.27559,0.07143,0.24409
0.44444,0.24852,0.39766
0.3421,0.16,0.30263
0.49438,0.2717,0.44195
0.46154,0.2087,0.44445
0.48438,0.22222,0.48438
0.13534,0.03054,0.1203
0.51908,0.29457,0.50381
0.67857,0.53012,0.67857
0.32989,0.14583,0.29897
0.28571,0.08805,0.23603
0.35294,0.1194,0.30882
0.31718,0.10666,0.26431
0.56115,0.48175,0.56115
0.55085,0.23931,0.51695
0.54902,0.36633,0.47059
0.43602,0.20096,0.41706
0.37426,0.17751,0.32749
0.45399,0.24845,0.41718
0.44828,0.22093,0.42529
0.41667,0.25301,0.41667
0.43537,0.26207,0.43537
0.51786,0.32934,0.47619
0.30216,0.10219,0.24461
0.3662,0.21428,0.32394
0.36199,0.14612,0.27149
0.55484,0.3268,0.52903
0.45783,0.23482,0.33735
0.37159,0.24309,0.3388
0.57517,0.43709,0.56209
0.32075,0.15384,0.26415
0.43357,0.24114,0.33567
0.44444,0.33871,0.44444
0.43902,0.26601,0.42927
0.34437,0.14765,0.2649
0.38994,0.24204,0.32705
0.26277,0.04445,0.16058
0.28431,0.11881,0.2549
0.4138,0.1958,0.35862
0.56387,0.32,0.54626
0.42945,0.16149,0.35583
0.48387,0.27174,0.41935
0.58824,0.4,0.54902
0.60825,0.35417,0.57732
0.38857,0.17341,0.34286
0.30089,0.14414,0.30089
0.40724,0.20091,0.31674
0.37755,0.25773,0.33673
0.34711,0.15126,0.29752
0.48979,0.26207,0.42177
0.4087,0.15789,0.38261
0.14815,0.01887,0.11111
0.34981,0.16092,0.32699
0.47619,0.3012,0.42857
0.46988,0.26829,0.40964
0.34395,0.16774,0.293
0.32927,0.12346,0.2561
0.40476,0.27711,0.40476
0.32927,0.08642,0.2317
0.34075,0.10448,0.31111
0.34906,0.07619,0.22641
0.48175,0.25185,0.48175
1.0,1.0,1.0
0.41546,0.23415,0.39613
0.34782,0.20879,0.31522
0.47458,0.33143,0.41808
0.51389,0.25352,0.45834
0.31205,0.1295,0.28369
0.30667,0.17568,0.26666
0.43137,0.2649,0.4183
0.49852,0.23881,0.47478
0.34395,0.15484,0.31847
0.63291,0.55129,0.62025
0.28571,0.05825,0.20952
0.37705,0.18334,0.36066
0.44594,0.34247,0.43244
0.54335,0.37427,0.46243
0.31959,0.11458,0.27835
0.43662,0.21429,0.33803
0.3299,0.23158,0.28866
0.42046,0.17241,0.32955
0.28572,0.09677,0.26984
0.2,0.15254,0.18333
