r1,r2,rl
0.39326,0.18181,0.35955
0.3,0.05883,0.24167
0.37349,0.15853,0.27711
0.42478,0.26786,0.39823
0.30657,0.16296,0.29197
0.28571,0.21053,0.25974
0.33503,0.13333,0.26396
0.35556,0.21053,0.35556
0.44444,0.25,0.37037
0.45263,0.24468,0.42105
0.53947,0.38667,0.52631
0.27184,0.09901,0.25243
0.44095,0.208,0.40945
0.22728,0.06154,0.18182
0.44195,0.18868,0.38203
0.47675,0.25883,0.45349
0.37126,0.14545,0.35928
0.40462,0.15205,0.36994
0.47547,0.22813,0.43774
0.2612,0.09775,0.2388
0.38519,0.18045,0.28149
0.56471,0.40476,0.51765
0.34518,0.18462,0.33503
0.39834,0.20084,0.36514
0.5445,0.34921,0.53403
0.36943,0.23226,0.35669
0.37086,0.16108,0.30463
0.57895,0.32,0.55263
0.35897,0.14286,0.30769
0.26667,0.06818,0.22222
0.27972,0.15603,0.25175
0.53763,0.30769,0.53763
0.60494,0.375,0.55555
0.44095,0.272,0.42519
0.4186,0.1647,0.32558
0.51315,0.4,0.5
0.39779,0.22346,0.37569
0.3681,0.21118,0.31901
0.24176,0.02222,0.18682
0.36943,0.14193,0.33121
0.81818,0.76744,0.81818
0.3,0.14493,0.27143
0.12121,0.0,0.10101
0.43859,0.28571,0.42105
0.48809,0.26506,0.44047
0.31111,0.13534,0.2963
0.27397,0.09722,0.26028
0.35632,0.15116,0.33333
0.69565,0.61636,0.69565
0.48485,0.29231,0.43939
0.24324,0.06849,0.17567
0.32877,0.11111,0.27397
0.27972,0.12766,0.22378
0.28148,0.1203,0.26666
0.43357,0.22695,0.41958
0.42,0.2449,0.4
0.45643,0.25941,0.39834
0.4023,0.16279,0.36782
0.6963,0.61654,0.68148
0.48387,0.28261,0.44086
0.46154,0.21918,0.41629
0.25582,0.07059,0.24419
0.29213,0.14772,0.26966
0.57143,0.38621,0.53062
0.33898,0.24138,0.32203
0.49122,0.21302,0.42105
0.56075,0.39623,0.5514
0.38136,0.17094,0.33898
0.60403,0.40817,0.57718
0.5,0.29333,0.44737
0.25301,0.09756,0.20482
0.27451,0.09272,0.20915
0.53801,0.35503,0.50292
0.40514,0.27184,0.39229
0.32727,0.17178,0.32727
0.31944,0.18309,0.29167
0.43098,0.25763,0.3973
0.45589,0.28359,0.41177
0.33497,0.12936,0.26601
0.5298,0.30872,0.46358
0.41935,0.18478,0.32258
0.60465,0.31496,0.52713
0.40678,0.18286,0.38418
0.34518,0.10256,0.30457
0.45161,0.25116,0.42396
0.36364,0.13445,0.33058
0.47541,0.25,0.44263
0.32222,0.16854,0.27778
0.29508,0.16667,0.29508
0.43523,0.25131,0.42487
0.24706,0.10714,0.2353
0.20896,0.07576,0.1791
0.2652,0.08938,0.22099
0.2359,0.10363,0.20513
0.464,0.27642,0.432
0.31343,0.07575,0.25373
0.40678,0.26286,0.39548
0.33987,0.1192,0.30065
0.46739,0.24176,0.38044
0.3871,0.2353,0.34839
0.38462,0.17187,0.33847
0.70588,0.61194,0.70588
0.26562,0.07936,0.25
0.44444,0.21495,0.38889
0.46753,0.28947,0.4026
0.36842,0.12766,0.29474
0.47619,0.35484,0.44444
0.27184,0.12745,0.27184
0.5045,0.29091,0.44144
0.42857,0.21186,0.37815
0.5,0.27692,0.4394
0.26316,0.07143,0.22807
0.43576,0.30508,0.39106
0.24806,0.14173,0.24806
0.37647,0.17857,0.35294
0.32468,0.18421,0.27273
0.46762,0.23913,0.41726
0.27545,0.08485,0.25149
0.69014,0.55714,0.6338
0.46414,0.19575,0.40507
0.49367,0.29487,0.4557
0.35789,0.17021,0.31579
0.42222,0.19101,0.33334
0.32592,0.18045,0.2963
0.28302,0.07692,0.28302
0.37086,0.18792,0.31788
0.65497,0.4497,0.5614
0.71186,0.60345,0.67797
0.6069,0.33566,0.55173
0.38151,0.17544,0.33526
0.50279,0.36159,0.44693
0.34694,0.125,0.34694
0.52032,0.24794,0.47154
0.24876,0.07036,0.21891
0.48731,0.33846,0.4467
